Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2007-2008,2007-2008,2007-2008,,0,,http://reference.data.gov.uk/id/goverment-year/2007-2008
2008-2009,2008-2009,2008-2009,,1,,http://reference.data.gov.uk/id/goverment-year/2008-2009
2009-2010,2009-2010,2009-2010,,2,,http://reference.data.gov.uk/id/goverment-year/2009-2010
2010-2011,2010-2011,2010-2011,,3,,http://reference.data.gov.uk/id/goverment-year/2010-2011
2011-2012,2011-2012,2011-2012,,4,,http://reference.data.gov.uk/id/goverment-year/2011-2012
2012-2013,2012-2013,2012-2013,,5,,http://reference.data.gov.uk/id/goverment-year/2012-2013
2013-2014,2013-2014,2013-2014,,6,,http://reference.data.gov.uk/id/goverment-year/2013-2014
2014-2015,2014-2015,2014-2015,,7,,http://reference.data.gov.uk/id/goverment-year/2014-2015
2015-2016,2015-2016,2015-2016,,8,,http://reference.data.gov.uk/id/goverment-year/2015-2016
2016-2017,2016-2017,2016-2017,,9,,http://reference.data.gov.uk/id/goverment-year/2016-2017
2017-2018,2017-2018,2017-2018,,10,,http://reference.data.gov.uk/id/goverment-year/2017-2018
2018-2019,2018-2019,2018-2019,,11,,http://reference.data.gov.uk/id/goverment-year/2018-2019
2019-2020,2019-2020,2019-2020,,12,,http://reference.data.gov.uk/id/goverment-year/2019-2020
2020-2021,2020-2021,2020-2021,,13,,http://reference.data.gov.uk/id/goverment-year/2020-2021
2021-2022,2021-2022,2021-2022,,14,,http://reference.data.gov.uk/id/goverment-year/2021-2022
2022-2023,2022-2023,2022-2023,,15,,http://reference.data.gov.uk/id/goverment-year/2022-2023
